Group,Nom,Nationalite,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,Image,No Capital Nationalité,flag,
568,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Art de la table Kubus,Design d'Objet,3,1938,Don de la Galerie Ulrich Fiedler en 1999,21.5 x 27 x 19 cm,Verre pressé,1938,1999,Don,Homme,objet.png,allemande (RFA),germany.png,
569,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Carafe basse,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"8,5 x 9 x 9 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
570,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Couvercle rectangulaire,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"1,5 x 9 x 18 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
571,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Carafe haute,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,16 x 9 cm,Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
572,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Grande boîte carrée haute,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,8 x 18 x 18 cm,Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
573,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Petit couvercle carré,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"1,5 x 9 x 9 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
574,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Petite boîte carrée basse,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,4 x 9 x 9 cm,Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
575,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Grand couvercle carré,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"1,5 x 18 x 18 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
576,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Grande boîte carrée basse,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"4,5 x 18 x 18 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
577,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Boîte rectangulaire basse,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,4 x 9 x 18 cm,Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
578,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Boîte rectangulaire haute,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,8.5 x 9 x 18.5 cm,Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
579,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Bouteille à encre,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"10,5 x 6 x 6 cm",verre pressé coudée,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
580,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Grand couvercle carré,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"1,5 x 18 x 18 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
581,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Bouteille à encre,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"8,5 x 5,5 x 6 cm",verre pressé coudée,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
582,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Boîte rectangulaire basse,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,4 x 9 x 18 cm,Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
583,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Petite boîte carrée basse,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,4 x 9 x 9 cm,Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
584,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Couvercle rectangulaire,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"1,5 x 9 x 18 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
585,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Petit couvercle carré,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"1,5 x 9 x 9 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
