Group,Nom,Nationalite,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,Image,No Capital Nationalité,flag,
7254,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Etude,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7255,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Etude,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7256,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Etude,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7257,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Etude tonus,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7258,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Etude tonus,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7259,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Etude tonus,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier et stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7260,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Etude tonus,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7261,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7262,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7263,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7264,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7265,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7266,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7267,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7268,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7269,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7270,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7271,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7272,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7273,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7274,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à encre sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7275,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7276,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7277,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7278,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7279,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7280,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7281,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7282,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7283,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7284,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7285,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7286,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7287,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7288,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7289,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7290,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7291,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7292,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7293,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7294,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7295,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7296,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7297,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7298,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7299,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7300,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7301,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7302,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier et stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7303,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7304,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier et stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7305,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7306,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7307,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7308,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7309,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7310,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7311,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7312,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7313,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier et stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7314,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à bille et crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7315,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7316,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier et stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7317,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7318,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7319,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7320,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7321,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier et stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7322,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7323,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7324,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier et stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7325,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7326,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7327,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7328,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7329,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7330,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7331,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7332,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7333,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7334,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7335,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7336,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7337,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7338,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7339,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7340,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7341,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7342,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7343,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7344,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7345,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7346,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7347,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7348,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7349,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7350,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7351,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7352,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7353,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à encre sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7354,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7355,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Stylo à bille sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7356,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7357,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
7358,Aldo BAKKER,Néerlandaise,"1971, Amersfoort (Pays-Bas)",Carnet d'esquisses,Design Graphique/ Illustration,2,2014,Don Aldo Bakker en 2017,,Crayon à papier sur papier,2014,2017,Don,Homme,graphic.png,néerlandaise,netherlands.png,
